genotype,day,food,plate,dauer,ar,pd,non,line,allele
akt-1(mg306),12_19_14,HB101,2,33,0,0,0,,mg306
akt-1(mg144),12_19_14,OP50,1,0,0,4,69,,mg144
akt-1(mg144),12_19_14,OP50,2,2,0,1,73,,mg144
akt-1(mg144),12_19_14,HB101,1,0,2,0,69,,mg144
akt-1(mg144),12_19_14,HB101,2,0,1,0,78,,mg144
sgk-1(ok538),12_19_14,OP50,1,8,0,1,34,,ft15
sgk-1(ok538),12_19_14,OP50,2,7,2,6,28,,ft15
sgk-1(ok538),12_19_14,HB101,1,11,1,2,39,,ft15
sgk-1(ok538),12_19_14,HB101,2,7,0,2,39,,ft15
N2,1_19_15,OP50,1,38,1,16,29,,
N2,1_19_15,OP50,2,14,0,15,27,,
N2,1_19_15,HB101,1,8,0,6,45,,
N2,1_19_15,HB101,2,14,5,7,24,,
akt-2,1_19_15,OP50,2,12,0,7,28,,ok273
akt-2,1_19_15,HB101,1,4,0,0,32,,ok273
akt-2,1_19_15,HB101,2,8,1,2,40,,ok273
akt-1(mg306),1_19_15,OP50,1,40,0,1,1,,mg306
akt-1(mg306),1_19_15,OP50,2,33,0,1,1,,mg306
akt-1(mg306),1_19_15,HB101,1,32,7,3,0,,mg306
akt-1(mg306),1_19_15,HB101,2,48,0,0,0,,mg306
akt-1(mg144),1_19_15,OP50,1,0,0,0,48,,mg144
akt-1(mg144),1_19_15,OP50,2,0,1,2,46,,mg144
akt-1(mg144),1_19_15,HB101,1,1,4,1,36,,mg144
akt-1(mg144),1_19_15,HB101,2,1,0,1,48,,mg144
akt-1(mg306),6_5_15,OP50,1,41,0,0,0,,mg306
akt-1(mg306),6_5_15,OP50,2,80,0,0,0,,mg306
akt-2,6_5_15,OP50,1,6,0,4,35,,mg306
akt-2,6_5_15,OP50,2,14,0,2,16,,mg306
sgk-1(ok538),6_5_15,OP50,1,28,0,9,5,,ok538
sgk-1(ok538),6_5_15,OP50,2,32,0,8,11,,ok538
