Label,Area,mean,mode,min,max,IntDen,Median,RawIntDen
SUM_C1-daf7_mRNA_L1_27d_N2-20.czi:cell,11.216,984.024,970.119,933,1038,11036.413,983,1052906
SUM_C1-daf7_mRNA_L1_27d_N2-20.czi:background,36.309,910.517,912.121,881,943,33060.11,910,3154031
SUM_C1-daf7_mRNA_L1_27d_N2-21.czi:cell,5.776,969.456,971.9,927,1006,5599.095,969,534170
SUM_C1-daf7_mRNA_L1_27d_N2-21.czi:background,36.362,907.718,906.941,883,937,33006.065,908,3148875
SUM_C1-daf7_mRNA_L1_27d_N2-22.czi:cell,4.507,1025.77,1012.039,959,1083,4623.349,1026,441081
SUM_C1-daf7_mRNA_L1_27d_N2-22.czi:background,91.36,915.043,918.059,886,944,83598.206,915,7975513
SUM_C1-daf7_mRNA_L1_27d_N2-23.czi:cell,6.677,979.728,983.135,945,1016,6541.592,980,624087
SUM_C1-daf7_mRNA_L1_27d_N2-23.czi:background,52.242,908.776,909.947,880,937,47475.895,909,4529339
SUM_C1-daf7_mRNA_L1_27d_N2-24.czi:cell,11.289,988.629,985.768,919,1048,11160.591,991,1064753
SUM_C1-daf7_mRNA_L1_27d_N2-24.czi:background,41.519,908.175,908.068,873,936,37706.183,908,3597280
SUM_C1-daf7_mRNA_L1_27d_N2-25.czi:cell,14.748,920.502,920.051,894,948,13575.549,921,1295147
SUM_C1-daf7_mRNA_L1_27d_N2-25.czi:background,55.889,911.461,910.98,883,941,50940.914,911,4859912
SUM_C1-daf7_mRNA_L1_27d_N2-26.czi:cell,8.176,955.346,956.109,918,990,7810.767,955,745170
SUM_C1-daf7_mRNA_L1_27d_N2-26.czi:background,76.947,914.34,912.998,885,946,70355.991,914,6712167
SUM_C1-daf7_mRNA_L1_27d_N2-27.czi:cell,6.059,1029.533,1037.811,937,1122,6237.44,1032,595070
SUM_C1-daf7_mRNA_L1_27d_N2-27.czi:background,30.775,912.582,911.963,885,940,28084.476,913,2679341
SUM_C1-daf7_mRNA_L1_27d_N2-28.czi:cell,9.507,932.899,927.01,892,967,8869.11,932,846139
SUM_C1-daf7_mRNA_L1_27d_N2-28.czi:background,94.19,906.462,908.117,870,938,85379.692,906,8145472
SUM_C1-daf7_mRNA_L1_27d_N2-29.czi:cell,6.268,972.512,964.936,932,1009,6095.851,974,581562
SUM_C1-daf7_mRNA_L1_27d_N2-29.czi:background,72.409,912.873,910.883,886,1026,66099.916,913,6306125
SUM_C1-daf7_mRNA_L1_27d_N2-30.czi:cell,10.461,1024.564,1019.092,954,1115,10717.858,1022,1022515
SUM_C1-daf7_mRNA_L1_27d_N2-30.czi:background,43.531,908.597,908.941,885,939,39552.269,909,3773402
SUM_C1-daf7_mRNA_L1_27d_ft7-01.czi:cell,4.633,948.93,947.879,909,983,4396.375,949,419427
SUM_C1-daf7_mRNA_L1_27d_ft7-01.czi:background,48.049,919.165,919.008,891,951,44164.832,919,4213454
SUM_C1-daf7_mRNA_L1_27d_ft7-02.czi:cell,7.788,952.783,950.883,921,989,7420.297,953,707918
SUM_C1-daf7_mRNA_L1_27d_ft7-02.czi:background,25.733,920.951,921.998,891,950,23698.792,921,2260934
SUM_C1-daf7_mRNA_L1_27d_ft7-03.czi:cell,7.012,950.274,945.879,918,996,6663.664,950,635733
SUM_C1-daf7_mRNA_L1_27d_ft7-03.czi:background,94.064,917.766,916.951,888,949,86328.95,918,8236034
SUM_C1-daf7_mRNA_L1_27d_ft7-04.czi:cell,7.704,952.076,947.908,915,998,7334.954,952,699776
SUM_C1-daf7_mRNA_L1_27d_ft7-04.czi:background,17.316,916.873,916.949,889,943,15876.6,917,1514674
SUM_C1-daf7_mRNA_L1_27d_ft7-05.czi:cell,6.3,973.897,974.982,928,1013,6135.158,975,585312
SUM_C1-daf7_mRNA_L1_27d_ft7-05.czi:background,28.049,919.305,919.971,890,945,25786.003,919,2460060
SUM_C1-daf7_mRNA_L1_27d_ft7-06.czi:cell,5.482,953.228,946.941,915,989,5225.605,953,498538
SUM_C1-daf7_mRNA_L1_27d_ft7-06.czi:background,98.131,912.657,914.055,883,943,89560.057,913,8544291
SUM_C1-daf7_mRNA_L1_27d_ft7-07.czi:cell,6.97,988.119,979.051,932,1078,6887.619,984,657099
SUM_C1-daf7_mRNA_L1_27d_ft7-07.czi:background,96.433,912.03,913.027,879,941,87949.855,912,8390673
SUM_C1-daf7_mRNA_L1_27d_ft7-08.czi:cell,7.075,948.538,949.068,910,993,6711.147,949,640263
SUM_C1-daf7_mRNA_L1_27d_ft7-08.czi:background,91.444,905.779,906.002,878,937,82827.863,906,7902020
SUM_C1-daf7_mRNA_L1_27d_ft7-09.czi:cell,6.404,965.435,971.092,921,1004,6183.05,967,589881
SUM_C1-daf7_mRNA_L1_27d_ft7-09.czi:background,13.847,911.998,912.951,884,945,12628.01,912,1204749
SUM_C1-daf7_mRNA_L1_27d_ft7-09.czi:cell,7.232,958.788,961.898,919,995,6934.421,959.5,661564
SUM_C1-daf7_mRNA_L1_27d_ft7-09.czi:background,70.732,910.427,910.076,880,939,64395.974,910,6143564
SUM_C1-daf7_mRNA_L1_27d_ft7-10.czi:cell,7.044,930.478,935.965,897,967,6554.108,930,625281
SUM_C1-daf7_mRNA_L1_27d_ft7-10.czi:background,89.106,906.673,906.926,876,934,80790.231,907,7707624
SUM_C1-daf7_mRNA_L1_27d_ft7-11.czi:cell,9.549,947.483,948.051,911,981,9047.49,948,863157
SUM_C1-daf7_mRNA_L1_27d_ft7-11.czi:background,80.406,914.114,913.113,884,942,73500.538,914,7012166
SUM_C1-daf7_mRNA_L1_27d_ft7-12.czi:cell,3.469,995.088,989.102,956,1032,3452.452,996,329374
SUM_C1-daf7_mRNA_L1_27d_ft7-12.czi:background,12.148,917.785,918.959,895,942,11149.69,918,1063713
SUM_C1-daf7_mRNA_L1_27d_ft7-13.czi:cell,8.113,941.513,940.125,911,975,7638.456,941,728731
SUM_C1-daf7_mRNA_L1_27d_ft7-13.czi:background,114.797,907.924,908.125,877,941,104227.302,908,9943589
SUM_C1-daf7_mRNA_L1_27d_ft7-13B.czi:cell,5.409,1068.698,1071.01,957,1174,5780.2,1070,551448
SUM_C1-daf7_mRNA_L1_27d_ft7-13B.czi:background,22.756,929.337,934.109,899,955,21148.095,929,2017590
SUM_C1-daf7_mRNA_L1_27d_ft7-14.czi:cell,7.212,980.246,983.004,933,1035,7069.06,981,674409
SUM_C1-daf7_mRNA_L1_27d_ft7-14.czi:background,116.695,917.34,918.061,886,953,107048.589,917,10212748
SUM_C1-daf7_mRNA_L1_27d_ft7-15.czi:cell,5.901,984.583,972.801,923,1045,5810.304,985,554320
SUM_C1-daf7_mRNA_L1_27d_ft7-15.czi:background,31.959,912.358,914.945,886,938,29158.237,912,2781781
SUM_C1-daf7_mRNA_L1_27d_ft7-16.czi:cell,8.721,968.827,963.066,920,1018,8449.05,969,806064
SUM_C1-daf7_mRNA_L1_27d_ft7-16.czi:background,27.662,909.326,909.018,882,935,25153.423,909,2399710
SUM_C1-daf7_mRNA_L1_27d_ft7-17.czi:cell,7.568,971.521,969.07,929,1021,7352.375,971.5,701438
SUM_C1-daf7_mRNA_L1_27d_ft7-17.czi:background,7.662,906.992,906.039,884,936,6949.588,907,663011
SUM_C1-daf7_mRNA_L1_27d_mg360-14.czi:cell,7.033,949.686,942.979,918,981,6679.45,949,637239
SUM_C1-daf7_mRNA_L1_27d_mg360-14.czi:background,106.569,913.709,914.084,880,943,97373.13,914,9289681
SUM_C1-daf7_mRNA_L1_27d_mg360-01.czi:cell,7.243,1002.511,1004.783,936,1065,7261.151,1004,692735
SUM_C1-daf7_mRNA_L1_27d_mg360-01.czi:background,39.066,913.235,911.963,885,940,35676.319,913,3403625
SUM_C1-daf7_mRNA_L1_27d_mg360-02.czi:cell,10.408,986.721,996.113,929,1067,10270.273,988,979814
SUM_C1-daf7_mRNA_L1_27d_mg360-02.czi:background,55.093,919.685,919.008,891,951,50667.872,920,4833863
SUM_C1-daf7_mRNA_L1_27d_mg360-03.czi:cell,7.264,992.26,979.828,936,1072,7207.704,990,687636
SUM_C1-daf7_mRNA_L1_27d_mg360-03.czi:background,94.609,914.774,916.117,886,946,86546.061,915,8256747
SUM_C1-daf7_mRNA_L1_27d_mg360-04.czi:cell,6.771,968.862,965.123,923,1014,6560.439,971,625885
SUM_C1-daf7_mRNA_L1_27d_mg360-04.czi:background,86.528,910.679,912.027,878,940,78798.992,911,7517654
SUM_C1-daf7_mRNA_L1_27d_mg360-05.czi:cell,6.394,990.795,1001.896,929,1072,6335.079,992,604385
SUM_C1-daf7_mRNA_L1_27d_mg360-05.czi:background,47.703,909.873,908.117,878,938,43403.629,910,4140833
SUM_C1-daf7_mRNA_L1_27d_mg360-06.czi:cell,8.417,960.13,955.145,923,1001,8081.346,960,770984
SUM_C1-daf7_mRNA_L1_27d_mg360-06.czi:background,24.087,913.55,908.021,886,941,22004.976,913,2099339
SUM_C1-daf7_mRNA_L1_27d_mg360-07.czi:cell,9.151,987.1,968.801,930,1084,9032.617,984,861738
SUM_C1-daf7_mRNA_L1_27d_mg360-07.czi:background,60.072,914.83,914.092,884,1101,54955.257,915,5242892
SUM_C1-daf7_mRNA_L1_27d_mg360-08.czi:cell,8.176,948.481,947.924,919,978,7754.637,948,739815
SUM_C1-daf7_mRNA_L1_27d_mg360-08.czi:background,27.462,917.509,916.037,888,943,25197.069,917,2403874
SUM_C1-daf7_mRNA_L1_27d_mg360-09.czi:cell,7.998,953.716,953.941,917,1015,7627.492,952,727685
SUM_C1-daf7_mRNA_L1_27d_mg360-09.czi:background,64.841,914.928,918.078,888,944,59324.63,915,5659743
SUM_C1-daf7_mRNA_L1_27d_mg360-10.czi:cell,10.125,928.624,926.945,898,958,9402.762,928,897051
SUM_C1-daf7_mRNA_L1_27d_mg360-10.czi:background,70.197,911.075,913.102,879,939,63954.719,911,6101467
SUM_C1-daf7_mRNA_L1_27d_mg360-11.czi:cell,12.107,937.878,940.053,904,967,11354.464,938,1083249
SUM_C1-daf7_mRNA_L1_27d_mg360-11.czi:background,42.797,907.655,905.049,880,937,38845.289,908,3705954
SUM_C1-daf7_mRNA_L1_27d_mg360-12.czi:cell,7.956,918.382,916.061,894,939,7306.401,918,697052
SUM_C1-daf7_mRNA_L1_27d_mg360-12.czi:background,29.381,913.233,914.076,884,943,26831.369,913,2559791
SUM_C1-daf7_mRNA_L1_27d_mg360-13.czi:cell,13.364,955.347,958.926,916,990,12767.607,956,1218067
SUM_C1-daf7_mRNA_L1_27d_mg360-13.czi:background,100.458,914.771,914.113,885,943,91896.16,915,8767162
SUM_C1-daf7_mRNA_L1_27d_mg360-14.czi:cell,8.375,946.523,955.143,909,984,7927.137,946,756272
SUM_C1-daf7_mRNA_L1_27d_mg360-14.czi:background,107.051,912.337,911.104,880,945,97666.821,912,9317700
SUM_C1-daf7_mRNA_L1_27d_mg360resc-01.czi:cell,6.75,941.852,940.057,912,977,6357.803,942,606553
SUM_C1-daf7_mRNA_L1_27d_mg360resc-01.czi:background,125.856,913.944,914.912,880,945,115025.011,914,10973722
SUM_C1-daf7_mRNA_L1_27d_mg360resc-02.czi:cell,7.316,972.112,963.936,931,1008,7112.298,972,678534
SUM_C1-daf7_mRNA_L1_27d_mg360resc-02.czi:background,48.342,922.617,920.924,892,951,44601.454,923,4255109
SUM_C1-daf7_mRNA_L1_27d_mg360resc-06.czi:cell,5.314,966.067,971.084,937,1000,5133.973,967,489796
SUM_C1-daf7_mRNA_L1_27d_mg360resc-06.czi:background,51.634,907.898,907.992,876,936,46878.062,908,4472304
SUM_C1-daf7_mRNA_L1_27d_mg360resc-07.czi:cell,6.991,1006.111,1001.846,955,1072,7034.124,1006,671076
SUM_C1-daf7_mRNA_L1_27d_mg360resc-07.czi:background,40.795,915.425,915.943,888,945,37345.146,915,3562836
SUM_C1-daf7_mRNA_L1_27d_mg360resc-04.czi:cell,4.916,978.48,970.074,939,1013,4810.199,978,458907
SUM_C1-daf7_mRNA_L1_27d_mg360resc-04.czi:background,60.638,914.08,913.121,882,944,55427.59,914,5287954
SUM_C1-daf7_mRNA_L1_27d_mg360resc-10.czi:cell,6.237,979.686,972.82,932,1032,6110.012,979,582913
SUM_C1-daf7_mRNA_L1_27d_mg360resc-10.czi:background,18.406,911.181,913.953,883,939,16771.331,911,1600034
SUM_C1-daf7_mRNA_L1_27d_mg360resc-12.czi:cell,7.253,990.341,987.049,940,1049,7183.386,990,685316
SUM_C1-daf7_mRNA_L1_27d_mg360resc-12.czi:background,32.001,909.025,907.941,884,938,29089.822,909,2775254
SUM_C1-daf7_mRNA_L1_27d_mg360resc-14.czi:cell,8.71,1038.578,1039.186,974,1099,9046.453,1039,863058
SUM_C1-daf7_mRNA_L1_27d_mg360resc-14.czi:background,59.285,917.164,916.037,888,943,54374.415,917,5187478
SUM_C1-daf7_mRNA_L1_27d_mg360resc-15.czi:cell,8.501,981.38,986.117,920,1044,8342.501,981,795899
SUM_C1-daf7_mRNA_L1_27d_mg360resc-15.czi:background,107.984,905.405,905.09,873,935,97769.407,905,9327487
SUM_C1-daf7_mRNA_L1_27d_mg360resc-16.czi:cell,6.1,1025.146,1015.146,940,1111,6253.844,1025,596635
SUM_C1-daf7_mRNA_L1_27d_mg360resc-16.czi:background,72.063,907.662,908.113,879,937,65408.627,908,6240174
