genotype,day,food,condition,temp,plate,dauer,ar,pd,non,month,year
N2,9_12_13,OP50,,27,2,10,0,6,41,9,13
N2,9_20_13,OP50,,27,1,40,0,11,13,9,13
N2,9_20_13,OP50,,27,2,42,0,10,11,9,13
N2,9_30_13,OP50,,27,1,9,0,3,30,9,13
N2,9_30_13,OP50,,27,2,11,0,3,26,9,13
N2,2_22_14,OP50,,27,1,29,1,5,36,2,14
N2,2_22_14,OP50,,27,2,27,3,7,33,2,14
N2,2_25_14,OP50,,27,1,23,4,27,10,2,14
N2,2_25_14,OP50,,27,2,34,0,20,19,2,14
N2,6_6_14,OP50,,27,1,34,0,12,51,6,14
N2,6_6_14,OP50,,27,2,44,0,23,34,6,14
N2,8_25_14,OP50,,27,1,17,0,5,56,8,14
N2,8_25_14,OP50,,27,2,5,0,0,28,8,14
N2,8_26_14,OP50,,27,1,17,0,5,56,8,14
N2,8_26_14,OP50,,27,2,5,0,0,28,8,14
N2,11_8_14,OP50,,27,1,28,0,3,48,11,14
N2,11_8_14,OP50,,27,2,15,0,3,22,11,14
N2,11_23_14,OP50,,27,1,19,1,0,47,11,14
N2,11_23_14,OP50,,27,2,36,0,0,42,11,14
N2,1_8_15,OP50,,27,1,10,0,1,54,1,15
N2,1_8_15,OP50,,27,2,12,0,5,51,1,15
N2,1_26_15,OP50,,27,1,25,0,2,30,1,15
N2,1_26_15,OP50,,27,2,24,0,11,19,1,15
N2,4_20_15,OP50,,27,1,33,0,13,32,4,15
N2,4_20_15,OP50,,27,2,37,0,18,30,4,15
N2,6_17_15,OP50,,27,1,7,2,3,34,6,15
N2,6_17_15,OP50,,27,2,7,0,1,32,6,15
N2,7_15_15,OP50,,27,1,9,0,10,33,7,15
N2,7_15_15,OP50,,27,2,9,0,20,30,7,15
N2,8_14_15,OP50,,27,1,30,0,0,49,8,15
N2,8_14_15,OP50,,27,2,14,0,0,33,8,15
N2,9_28_15,OP50,,27,1,18,0,0,24,9,15
N2,9_28_15,OP50,,27,2,16,0,0,21,9,15
N2,10_16_15,OP50,,27,1,7,0,7,13,10,15
N2,10_16_15,OP50,,27,2,28,0,6,18,10,15
N2,2_20_16,OP50,,27,1,40,0,0,46,2,16
N2,2_20_16,OP50,,27,2,44,0,0,64,2,16
N2,2_24_16,OP50,,27,1,79,0,0,43,2,16
N2,2_24_16,OP50,,27,2,75,0,0,65,2,16
N2,11_21_16,OP50,,27,1,0,0,0,52,11,16
N2,11_21_16,OP50,,27,2,2,0,0,58,11,16
N2,11_25_16,OP50,,27,1,0,0,0,58,11,16
N2,11_25_16,OP50,,27,2,0,0,0,65,11,16
N2,12_4_16,OP50,,27,1,12,0,0,30,12,16
N2,12_4_16,OP50,,27,2,6,0,0,48,12,16
N2,12_5_16,OP50,,27,1,5,0,0,42,12,16
N2,12_5_16,OP50,,27,2,3,0,0,63,12,16
N2,4_1_17,OP50,,27,1,2,0,0,47,4,17
N2,4_1_17,OP50,,27,2,4,0,0,58,4,17
N2,4_3_17,OP50,,27,1,7,0,0,72,4,17
N2,4_3_17,OP50,,27,2,29,0,0,42,4,17
N2,4_4_17,OP50,,27,1,26,0,0,50,4,17
N2,4_4_17,OP50,,27,2,23,0,0,66,4,17
