genotype,ID,Area,mean,mode,min,max,IntDen,Median,RawIntDen,animal
ft7,daf7GFP_adult_20d_ft7-10.czi:z:24/35 - daf7GFP_adult_20d_ft7-10.czi #1,15.314,2895.142,4095,1105,4095,44336.19,2882,4229802,A
ft7,daf7GFP_adult_20d_ft7-11.czi:z:15/26 - daf7GFP_adult_20d_ft7-11.czi #1,14.046,3469.672,4095,1343,4095,48733.938,4095,4649360,A
ft7,daf7GFP_adult_20d_ft7-11.czi:z:20/26 - daf7GFP_adult_20d_ft7-11.czi #1,7.463,958.594,1001,584,1251,7154.068,971,682519,A
ft7,daf7GFP_adult_20d_ft7-12.czi:z:8/28 - daf7GFP_adult_20d_ft7-12.czi #1,21.98,2702.306,4095,761,4095,59397.93,2623,5666736,A
ft7,daf7GFP_adult_20d_ft7-12.czi:z:16/28 - daf7GFP_adult_20d_ft7-12.czi #1,11.446,3862.108,4095,2123,4095,44206.424,4095,4217422,A
ft7,daf7GFP_adult_20d_ft7-13.czi:z:15/26 - daf7GFP_adult_20d_ft7-13.czi #1,9.601,1708.856,1722,908,2237,16407.38,1722,1565312,A
ft7,daf7GFP_adult_20d_ft7-13.czi:z:17/26 - daf7GFP_adult_20d_ft7-13.czi #1,7.977,1779.664,2116,719,2356,14195.834,1825,1354324,A
ft7,daf7GFP_adult_20d_ft7-14.czi:z:18/32 - daf7GFP_adult_20d_ft7-14.czi #1,9.203,2872.995,4095,1219,4095,26440.386,2909,2522490,A
ft7,daf7GFP_adult_20d_ft7-14.czi:z:23/32 - daf7GFP_adult_20d_ft7-14.czi #1,8.197,1875.815,1891,975,2391,15375.703,1892,1466887,A
ft7,daf7GFP_adult_20d_ft7-15.czi:z:8/23 - daf7GFP_adult_20d_ft7-15.czi #1,12.431,3107.863,4095,1227,4095,38635.348,3175,3685925,A
ft7,daf7GFP_adult_20d_ft7-15.czi:z:3/23 - daf7GFP_adult_20d_ft7-15.czi #1,5.964,1164.559,1168,894,1322,6945.636,1185,662634,A
ft7,daf7GFP_adult_20d_ft7-16.czi:z:7/17 - daf7GFP_adult_20d_ft7-16.czi #1,15.293,2804.759,4095,1038,4095,42893.268,2814,4092143,A
ft7,daf7GFP_adult_20d_ft7-16.czi:z:7/17 - daf7GFP_adult_20d_ft7-16.czi #1,8.543,2046.613,1817,1207,2670,17483.637,2080,1667990,A
ft7,daf7GFP_adult_20d_ft7-17.czi:z:19/27 - daf7GFP_adult_20d_ft7-17.czi #1,12.484,3358.173,4095,1449,4095,41923.077,3675,3999584,A
ft7,daf7GFP_adult_20d_ft7-18.czi:z:13/25 - daf7GFP_adult_20d_ft7-18.czi #1,11.132,1361.32,1123,530,1793,15153.855,1361,1445722,A
ft7,daf7GFP_adult_20d_ft7-18.czi:z:11/25 - daf7GFP_adult_20d_ft7-18.czi #1,13.511,589.425,649,378,781,7963.792,588,759769,A
ft7,daf7GFP_adult_20d_ft7-19.czi:z:12/19 - daf7GFP_adult_20d_ft7-19.czi #1,15.461,3152.401,4095,878,4095,48738.456,3391,4649791,A
ft7,daf7GFP_adult_20d_ft7-19.czi:z:10/19 - daf7GFP_adult_20d_ft7-19.czi #1,10.807,2767.699,1852,970,3953,29909.965,2808,2853498,A
ft7,daf7GFP_adult_20d_ft7-20.czi:z:7/19 - daf7GFP_adult_20d_ft7-20.czi #1,12.002,1036.241,1060,752,1271,12436.684,1033,1186496,A
ft7,daf7GFP_adult_20d_ft7-20.czi:z:10/19 - daf7GFP_adult_20d_ft7-20.czi #1,19.653,1122.81,817,497,1861,22067.134,1068,2105269,A
ft7,daf7GFP_adult_20d_ft7-21.czi:z:9/21 - daf7GFP_adult_20d_ft7-21.czi #1,13.71,3636.038,4095,916,4095,49851.073,4095,4755938,A
ft7,daf7GFP_adult_20d_ft7-21.czi:z:15/21 - daf7GFP_adult_20d_ft7-21.czi #1,11.624,2095.408,2324,684,2908,24357.829,2165,2323808,A
ft7,daf7GFP_adult_20d_ft7-22.czi:z:5/25 - daf7GFP_adult_20d_ft7-22.czi #1,19.8,670.852,508,342,1013,13283.032,655,1267240,A
ft7,daf7GFP_adult_20d_ft7-22.czi:z:16/25 - daf7GFP_adult_20d_ft7-22.czi #1,15.566,964.032,693,563,1647,15005.694,894,1431587,A
ft7,daf7GFP_adult_20d_ft7-23.czi:z:10/21 - daf7GFP_adult_20d_ft7-23.czi #1,16.331,1152.666,815,353,1796,18823.889,1148,1795854,A
ft7,daf7GFP_adult_20d_ft7-23.czi:z:15/21 - daf7GFP_adult_20d_ft7-23.czi #1,9.759,1046.639,711,616,1486,10213.744,1052,974421,A
ft7,daf7GFP_adult_20d_ft7-24.czi:z:8/25 - daf7GFP_adult_20d_ft7-24.czi #1,9.685,3635.733,4095,1292,4095,35212.937,4095,3359417,A
ft7,daf7GFP_adult_20d_ft7-24.czi:z:12/25 - daf7GFP_adult_20d_ft7-24.czi #1,9.067,3132.057,4095,1181,4095,28397.757,3207,2709229,A
ft7,daf7GFP_adult_20d_ft7-25.czi:z:12/26 - daf7GFP_adult_20d_ft7-25.czi #1,10.87,3324.599,4095,1382,4095,36137.353,3523,3447609,A
ft7,daf7GFP_adult_20d_ft7-25.czi:z:21/26 - daf7GFP_adult_20d_ft7-25.czi #1,10.985,1974.103,1766,1172,2585,21685.5,1983,2068860,A
ft7,daf7GFP_adult_20d_ft7-26.czi:z:13/28 - daf7GFP_adult_20d_ft7-26.czi #1,13.647,4035.998,4095,2627,4095,55080.809,4095,5254870,A
ft7,daf7GFP_adult_20d_ft7-26.czi:z:12/28 - daf7GFP_adult_20d_ft7-26.czi #1,14.36,3754.758,4095,1604,4095,53918.884,4095,5144019,A
ft7,daf7GFP_adult_20d_ft7-27.czi:z:9/26 - daf7GFP_adult_20d_ft7-27.czi #1,13.008,3430.885,4095,853,4095,44628.906,3960,4257728,A
ft7,daf7GFP_adult_20d_ft7-27.czi:z:21/26 - daf7GFP_adult_20d_ft7-27.czi #1,10.23,1624.258,1259,946,2176,16616.64,1637,1585276,A
ft7,daf7GFP_adult_20d_ft7-28.czi:z:18/30 - daf7GFP_adult_20d_ft7-28.czi #1,13.532,1382.725,1367,767,2312,18711.146,1301,1785098,A
ft7,daf7GFP_adult_20d_ft7-28.czi:z:12/30 - daf7GFP_adult_20d_ft7-28.czi #1,9.36,1112.96,1347,565,1476,10417.637,1121,993873,A
ft7,daf7GFP_adult_20d_ft7-29.czi:z:12/24 - daf7GFP_adult_20d_ft7-29.czi #1,12.84,2351.122,2721,1118,3368,30189.055,2367,2880124,A
ft7,daf7GFP_adult_20d_ft7-29.czi:z:15/24 - daf7GFP_adult_20d_ft7-29.czi #1,5.629,1123.836,1033,743,1626,6325.802,1110,603500,A
ft7,daf7GFP_adult_20d_ft7-30.czi:z:7/23 - daf7GFP_adult_20d_ft7-30.czi #1,21.173,3628.852,4095,1571,4095,76834.975,4095,7330281,A
ft7,daf7GFP_adult_20d_ft7-30.czi:z:4/23 - daf7GFP_adult_20d_ft7-30.czi #1,17.4,2806.325,4095,948,4095,48829.732,2797,4658499,A
N2,daf7GFP_adult_20d_N2-01.czi:z:13/20 - daf7GFP_adult_20d_N2-01.czi #1,9.13,1610.587,1935,787,2248,14704.173,1624,1402821,A
N2,daf7GFP_adult_20d_N2-01.czi:z:13/20 - daf7GFP_adult_20d_N2-01.czi #1,7.421,916.606,1053,533,1112,6802.276,932,648957,A
N2,daf7GFP_adult_20d_N2-02.czi:z:9/15 - daf7GFP_adult_20d_N2-02.czi #1,9.067,1531.119,1292,803,2000,13882.363,1541,1324418,A
N2,daf7GFP_adult_20d_N2-02.czi:z:10/15 - daf7GFP_adult_20d_N2-02.czi #1,7.652,1099.425,982,605,1453,8412.531,1116,802580,A
N2,daf7GFP_adult_20d_N2-03.czi:z:7/15 - daf7GFP_adult_20d_N2-03.czi #1,25.859,3831.899,4095,1648,4095,99088.12,4095,9453296,A
N2,daf7GFP_adult_20d_N2-03.czi:z:7/15 - daf7GFP_adult_20d_N2-03.czi #1,26.813,3816.941,4095,1325,4095,102342.098,4095,9763735,A
N2,daf7GFP_adult_20d_N2-04.czi:z:9/17 - daf7GFP_adult_20d_N2-04.czi #1,20.335,822.626,678,471,1238,16727.937,802,1595894,A
N2,daf7GFP_adult_20d_N2-04.czi:z:9/17 - daf7GFP_adult_20d_N2-04.czi #1,16.205,891.013,958,322,1430,14438.824,879,1377506,A
N2,daf7GFP_adult_20d_N2-05.czi:z:17/28 - daf7GFP_adult_20d_N2-05.czi #1,20.45,860.563,581,458,1395,17598.602,823,1678958,A
N2,daf7GFP_adult_20d_N2-05.czi:z:6/28 - daf7GFP_adult_20d_N2-05.czi #1,22.295,1325.834,841,542,2453,29559.357,1213,2820049,A
N2,daf7GFP_adult_20d_N2-05.czi:z:7/28 - daf7GFP_adult_20d_N2-05.czi #1,18.186,645.481,542,359,942,11738.729,634,1119909,B
N2,daf7GFP_adult_20d_N2-05.czi:z:27/28 - daf7GFP_adult_20d_N2-05.czi #1,22.368,909.862,1003,367,1403,20352.05,910,1941645,B
N2,daf7GFP_adult_20d_N2-05.czi:z:6/28 - daf7GFP_adult_20d_N2-05.czi #1,26.771,1002.411,935,515,1635,26835.216,953,2560158,C
N2,daf7GFP_adult_20d_N2-05.czi:z:23/28 - daf7GFP_adult_20d_N2-05.czi #1,21.635,860.302,710,439,1344,18612.26,831,1775664,C
N2,daf7GFP_adult_20d_N2-06.czi:z:8/15 - daf7GFP_adult_20d_N2-06.czi #1,19.936,724.244,550,417,1084,14438.887,697,1377512,A
N2,daf7GFP_adult_20d_N2-06.czi:z:6/15 - daf7GFP_adult_20d_N2-06.czi #1,12.683,462.026,475,333,559,5859.904,464,559052,A
N2,daf7GFP_adult_20d_N2-07.czi:z:13/28 - daf7GFP_adult_20d_N2-07.czi #1,12.851,993.527,596,433,1491,12767.576,1010,1218064,A
N2,daf7GFP_adult_20d_N2-07.czi:z:23/28 - daf7GFP_adult_20d_N2-07.czi #1,13.249,1027.995,902,572,1511,13619.981,988,1299386,A
N2,daf7GFP_adult_20d_N2-08.czi:z:8/38 - daf7GFP_adult_20d_N2-08.czi #1,22.148,1715.393,1365,733,2825,37992.82,1640,3624626,A
N2,daf7GFP_adult_20d_N2-08.czi:z:8/38 - daf7GFP_adult_20d_N2-08.czi #1,17.002,857.356,875,554,1082,14576.399,866,1390631,A
N2,daf7GFP_adult_20d_N2-09.czi:z:8/22 - daf7GFP_adult_20d_N2-09.czi #1,17.18,2281.023,1622,993,3822,39187.438,2125,3738596,A
N2,daf7GFP_adult_20d_N2-09.czi:z:7/22 - daf7GFP_adult_20d_N2-09.czi #1,9.633,1999.379,1932,882,2751,19259.672,2000,1837429,A
N2,daf7GFP_adult_20d_N2-10.czi:z:18/30 - daf7GFP_adult_20d_N2-10.czi #1,7.285,1682.823,1945,964,2189,12259.184,1689,1169562,A
N2,daf7GFP_adult_20d_N2-10.czi:z:7/30 - daf7GFP_adult_20d_N2-10.czi #1,16.844,1624.037,1143,713,2650,27355.85,1543,2609828,A
N2,daf7GFP_adult_20d_N2-11.czi:z:10/29 - daf7GFP_adult_20d_N2-11.czi #1,20.953,2678.639,2242,1365,4066,56126.154,2630,5354599,A
N2,daf7GFP_adult_20d_N2-11.czi:z:10/29 - daf7GFP_adult_20d_N2-11.czi #1,14.748,2440.566,2179,1066,3455,35993.405,2440,3433876,A
N2,daf7GFP_adult_20d_N2-12.czi:z:11/24 - daf7GFP_adult_20d_N2-12.czi #1,11.436,3076.636,4095,777,4095,35183.514,3204,3356610,A
N2,daf7GFP_adult_20d_N2-12.czi:z:15/24 - daf7GFP_adult_20d_N2-12.czi #1,8.354,2317.376,2406,902,3078,19359.46,2361,1846949,A
N2,daf7GFP_adult_20d_N2-13.czi:z:12/20 - daf7GFP_adult_20d_N2-13.czi #1,19.255,3518.069,4095,898,4095,67741.039,4095,6462693,A
N2,daf7GFP_adult_20d_N2-13.czi:z:20/20 - daf7GFP_adult_20d_N2-13.czi #1,16.205,1902.113,1458,780,2956,30823.658,1885,2940667,A
N2,daf7GFP_adult_20d_N2-14.czi:z:15/39 - daf7GFP_adult_20d_N2-14.czi #1,16.781,1416.442,843,456,2354,23769.964,1382,2267724,A
N2,daf7GFP_adult_20d_N2-14.czi:z:34/39 - daf7GFP_adult_20d_N2-14.czi #1,13.364,1138.121,1021,598,1555,15210.268,1157,1451104,A
N2,daf7GFP_adult_20d_N2-15.czi:z:9/24 - daf7GFP_adult_20d_N2-15.czi #1,8.165,1999.685,2434,1059,2554,16328.169,2047,1557755,A
N2,daf7GFP_adult_20d_N2-15.czi:z:6/24 - daf7GFP_adult_20d_N2-15.czi #1,5.943,1430.007,1525,743,1794,8498.838,1476,810814,A
N2,daf7GFP_adult_20d_N2-16.czi:z:8/22 - daf7GFP_adult_20d_N2-16.czi #1,14.863,3442.46,4095,1413,4095,51166.232,3793,4881408,A
N2,daf7GFP_adult_20d_N2-16.czi:z:5/22 - daf7GFP_adult_20d_N2-16.czi #1,9.926,1333.459,1407,913,1586,13236.345,1355,1262786,A
N2,daf7GFP_adult_20d_N2-17.czi:z:19/43 - daf7GFP_adult_20d_N2-17.czi #1,10.859,930.92,975,534,1199,10109.051,950,964433,A
N2,daf7GFP_adult_20d_N2-17.czi:z:28/43 - daf7GFP_adult_20d_N2-17.czi #1,7.086,1011.533,874,596,1351,7167.454,1024,683796,A
N2,daf7GFP_adult_20d_N2-18.czi:z:9/19 - daf7GFP_adult_20d_N2-18.czi #1,14.507,1088.137,959,517,1459,15785.492,1078,1505982,A
N2,daf7GFP_adult_20d_N2-18.czi:z:11/19 - daf7GFP_adult_20d_N2-18.czi #1,13.993,2909.614,4095,776,4095,40715.053,2981,3884335,A
N2,daf7GFP_adult_20d_N2-19.czi:z:7/33 - daf7GFP_adult_20d_N2-19.czi #1,15.387,2375.139,2112,1143,3605,36547.141,2357,3486704,A
N2,daf7GFP_adult_20d_N2-19.czi:z:27/33 - daf7GFP_adult_20d_N2-19.czi #1,6.918,482.611,470,412,560,3338.713,483,318523,A
N2,daf7GFP_adult_20d_N2-20.czi:z:11/23 - daf7GFP_adult_20d_N2-20.czi #1,10.408,1424.174,1573,817,1780,14823.498,1437,1414205,A
N2,daf7GFP_adult_20d_N2-20.czi:z:9/23 - daf7GFP_adult_20d_N2-20.czi #1,9.077,1291.336,1295,679,1786,11721.832,1309,1118297,A
N2,daf7GFP_adult_20d_N2-21.czi:z:17/37 - daf7GFP_adult_20d_N2-21.czi #1,12.914,2103.677,1578,865,2958,27166.149,2164,2591730,A
N2,daf7GFP_adult_20d_N2-21.czi:z:29/37 - daf7GFP_adult_20d_N2-21.czi #1,9.664,1633.706,1594,811,2093,15788.584,1664,1506277,A
N2,daf7GFP_adult_20d_N2-22.czi:z:16/29 - daf7GFP_adult_20d_N2-22.czi #1,6.761,725.392,865,472,923,4904.231,731,467878,A
N2,daf7GFP_adult_20d_N2-22.czi:z:16/29 - daf7GFP_adult_20d_N2-22.czi #1,6.09,763.281,659,422,1004,4648.348,783,443466,A
N2,daf7GFP_adult_20d_N2-23.czi:z:8/33 - daf7GFP_adult_20d_N2-23.czi #1,19.203,1097.389,854,328,1720,21072.908,1091,2010417,A
N2,daf7GFP_adult_20d_N2-23.czi:z:8/33 - daf7GFP_adult_20d_N2-23.czi #1,13.008,619.123,767,377,809,8053.548,611,768332,A
N2,daf7GFP_adult_20d_N2-24.czi:z:34/43 - daf7GFP_adult_20d_N2-24.czi #1,12.735,1759.285,1467,1279,2265,22405.299,1748,2137531,A
N2,daf7GFP_adult_20d_N2-24.czi:z:15/43 - daf7GFP_adult_20d_N2-24.czi #1,17.337,2567.987,1964,921,3800,44521.184,2559,4247451,A
N2,daf7GFP_adult_20d_N2-25.czi:z:13/27 - daf7GFP_adult_20d_N2-25.czi #1,20.199,3690.883,4095,1707,4095,74550.464,4095,7112332,A
N2,daf7GFP_adult_20d_N2-25.czi:z:12/27 - daf7GFP_adult_20d_N2-25.czi #1,20.964,2728.253,4095,612,4095,57194.318,2742,5456505,A
N2,daf7GFP_adult_20d_N2-26.czi:z:9/37 - daf7GFP_adult_20d_N2-26.czi #1,13.584,3905.573,4095,2482,4095,53055.221,4095,5061623,A
N2,daf7GFP_adult_20d_N2-26.czi:z:17/37 - daf7GFP_adult_20d_N2-26.czi #1,20.89,3525.362,4095,724,4095,73646.026,4095,7026046,A
N2,daf7GFP_adult_20d_N2-27.czi:z:13/41 - daf7GFP_adult_20d_N2-27.czi #1,10.304,1557.305,1306,1071,1998,16045.955,1534,1530831,A
N2,daf7GFP_adult_20d_N2-27.czi:z:27/41 - daf7GFP_adult_20d_N2-27.czi #1,7.694,1290.012,1519,852,1617,9924.948,1317,946869,A
N2,daf7GFP_adult_20d_N2-28.czi:z:9/21 - daf7GFP_adult_20d_N2-28.czi #1,8.668,1841.925,1579,1175,2318,15966.723,1836,1523272,A
N2,daf7GFP_adult_20d_N2-28.czi:z:10/21 - daf7GFP_adult_20d_N2-28.czi #1,8.417,1108.418,1004,822,1312,9329.484,1120,890060,A
N2,daf7GFP_adult_20d_N2-29.czi:z:22/35 - daf7GFP_adult_20d_N2-29.czi #1,13.144,3841.879,4095,1917,4095,50498.622,4095,4817716,A
N2,daf7GFP_adult_20d_N2-29.czi:z:11/35 - daf7GFP_adult_20d_N2-29.czi #1,10.555,1610.013,1754,1164,1858,16994.06,1648,1621283,A
N2,daf7GFP_adult_20d_N2-30.czi:z:21/28 - daf7GFP_adult_20d_N2-30.czi #1,12.547,823.358,752,442,1125,10330.491,829,985559,A
N2,daf7GFP_adult_20d_N2-30.czi:z:19/28 - daf7GFP_adult_20d_N2-30.czi #1,9.518,501.895,531,372,599,4776.803,509,455721,A
