genotype,day,food,plate,dauer,ar,pd,non,condition,allele
rict-1(mg360),1_8_16,OP50,2,112,0,0,2,control,mg360
rict-1(mg360); ex[ges1],1_8_16,OP50,1,5,0,0,53,rescue,mg360
rict-1(mg360); ex[ges1],1_8_16,OP50,2,8,0,0,25,rescue,mg360
N2,11_23_14,OP50,1,19,1,0,47,,
N2,11_23_14,OP50,2,36,0,0,42,,
mg360,11_23_14,OP50,1,79,1,0,1,,
mg360,11_23_14,OP50,2,32,2,0,0,,
rict-1(mg360); ex[gpa4],11_23_14,OP50,1,40,2,0,1,ex3,
rict-1(mg360); ex[gpa4],11_23_14,OP50,2,33,1,0,6,ex3,
N2,1_8_15,OP50,1,10,0,1,54,,
N2,1_8_15,OP50,2,12,0,5,51,,
mg360,1_8_15,OP50,1,80,1,1,2,,
mg360,1_8_15,OP50,2,107,0,1,0,,
rict-1(mg360); ex[gpa4],1_8_15,OP50,1,27,0,2,0,exA3,
rict-1(mg360); ex[gpa4],1_8_15,OP50,2,23,0,1,0,exA3,
rict-1(mg360); ex[gpa4],1_8_15,OP50,1,52,0,1,0,ex3,
rict-1(mg360); ex[gpa4],1_8_15,OP50,2,43,0,1,0,ex3,
N2,11_18_14,OP50,1,28,0,3,48,,
N2,11_18_14,OP50,2,15,0,3,22,,
mg360,11_18_14,OP50,1,83,0,3,2,,
mg360,11_18_14,OP50,2,73,0,0,0,,
rict-1(mg360); ex[gpa4],11_18_14,OP50,1,15,2,1,3,ex3,
N2,1_26_15,OP50,1,25,0,2,30,,
N2,1_26_15,OP50,2,24,0,11,19,,
mg360,1_26_15,OP50,1,49,1,0,0,,
mg360,1_26_15,OP50,2,57,1,0,0,,
rict-1(mg360); ex[gpa4],1_26_15,OP50,1,38,0,1,0,ex3,
rict-1(mg360); ex[gpa4],1_26_15,OP50,2,24,0,3,0,ex3,
rict-1(mg360); ex[gpa4],1_26_15,OP50,1,15,0,0,0,exA3,
rict-1(mg360); ex[gpa4],1_26_15,OP50,2,20,0,1,0,exA3,
N2,4_29_17,OP50,1,9,0,0,64,,
N2,4_29_17,OP50,2,2,0,0,27,,
rict-1(ft7),4_29_17,OP50,1,48,0,0,3,,
rict-1(ft7),4_29_17,OP50,2,32,0,0,7,,
rict-1(ft7); ex[elt2],4_29_17,OP50,1,27,0,0,25,1,
rict-1(ft7); ex[elt2],4_29_17,OP50,2,11,0,0,37,1,
rict-1(ft7); ex[elt2],4_29_17,OP50,1,7,0,0,4,2,
rict-1(ft7); ex[elt2],4_29_17,OP50,2,17,0,0,18,2,
rict-1(ft7); ex[ifb2],4_29_17,OP50,1,13,0,0,16,2,
rict-1(ft7); ex[ifb2],4_29_17,OP50,2,11,0,0,11,2,
N2,5_10_17,OP50,1,21,0,0,32,,
N2,5_10_17,OP50,2,22,0,0,32,,
rict-1(ft7),5_10_17,OP50,1,40,0,0,3,,
rict-1(ft7),5_10_17,OP50,2,41,0,0,4,,
rict-1(ft7); ex[elt2],5_10_17,OP50,1,9,0,0,14,1,
rict-1(ft7); ex[elt2],5_10_17,OP50,2,10,0,0,20,1,
rict-1(ft7); ex[elt2],5_10_17,OP50,1,10,0,0,26,2,
rict-1(ft7); ex[elt2],5_10_17,OP50,2,10,0,0,21,2,
rict-1(ft7); ex[ifb2],5_10_17,OP50,1,6,0,0,16,1,
rict-1(ft7); ex[ifb2],5_10_17,OP50,2,18,0,0,16,1,
rict-1(ft7); ex[ifb2],5_10_17,OP50,1,2,0,0,7,2,
rict-1(ft7); ex[ifb2],5_10_17,OP50,2,0,0,0,12,2,
